Flow,VolFlow,P_bar,T_C,MA,Power,S6_Pres,Method
500,3500,3.0,-111.0,1.9830359224277814,661.3160140757323,14.059255120428473,Anchor
500,3550,3.0,-111.0,1.8581715820036777,659.4271068365327,14.128121994845749,Anchor
500,3600,3.0,-111.0,2.1214315821448295,663.5098823124151,13.980371717336384,Anchor
500,3650,3.0,-111.0,2.3203151433743585,667.6797719447319,13.81292808469751,Anchor
500,3700,3.0,-111.0,2.182085235497709,671.3243684946863,13.59935764007285,Anchor
500,3750,3.0,-111.0,1.5354441689633802,675.1320036903116,13.34975476511964,Anchor
500,3800,3.0,-111.0,0.636493688937037,678.173136256815,13.01262316929095,Anchor
600,3500,3.4,-106.71586268050913,1.3759830161780684,719.3843262727158,16.276585355269233,Secant
600,3550,3.6,-113.0,2.557001250708275,767.9427870723878,17.162183003794254,Secant
600,3600,3.4,-106.93592894426143,1.7267067026479594,727.1216391845508,16.05193713707492,Secant
600,3650,3.4,-107.7238437750199,1.8000302740373968,733.7746708337467,15.803954740913369,Secant
600,3700,3.4,-108.35450829383731,1.180714551643689,742.5519977387787,15.307830640662639,Secant
600,3750,3.4,-108.26262328991699,1.059492193578535,742.8445883637894,15.286351677846586,Secant
600,3800,3.6,-110.0,2.66226293132587,786.9786012253056,16.024956402324566,Secant
700,3500,3.9,-104.89416653141843,2.1567161961601755,804.7012272929165,18.822692563171017,Secant
700,3550,3.9,-105.91487952216035,2.2114920012687236,811.1564793390593,18.666324607300993,Secant
700,3600,3.9,-107.09482865217548,2.142239350012062,817.2892568344615,18.477516016569695,Secant
700,3650,3.9,-108.28500039372548,1.994424633269034,822.7416590232414,18.283783151467432,Secant
700,3700,3.9,-110.0,1.600375896640962,828.5425059463572,18.073405268478894,Secant
700,3750,3.9,-109.15833373418151,1.9993924752345151,833.2400699988061,17.712011388033766,Secant
700,3800,4.0,-111,2.610998469920034,857.248137127313,18.02665426005898,Grid(FB)
800,3500,4.4,-104.33967285433117,2.4100534084175393,891.3147244384545,21.361830678009255,Secant
800,3550,4.4,-106.49667574364705,1.919143560104125,897.7090664008725,21.230419265276556,Secant
800,3600,4.4,-107.68832133881587,1.9022379725513545,905.1867819847238,21.026305899930495,Secant
800,3650,4.4,-108.23881853394286,2.1033441533989787,912.7368957930556,20.739517105194576,Secant
800,3700,4.4,-109.22433129479535,1.9785708044705643,918.8487619054667,20.49114288830716,Secant
800,3750,4.4,-109.50785411668414,2.0178177990755515,924.4016288075865,20.122575861551876,Secant
800,3800,4.4,-109.73897232139126,1.9100699379766866,923.0985847764834,20.234743507648847,Secant
900,3500,4.7,-101.89694127035422,1.5134124771960629,943.412311895244,22.68905597796812,Secant
900,3550,4.8,-103.28155600386795,2.161578727875124,965.1527094296632,23.193826738554876,Secant
900,3600,4.8,-104.78225444652011,1.7992713737242738,969.8459996467044,23.084743689856417,Secant
900,3650,4.7,-102.60274426224736,1.5753333894360253,956.9628025302476,22.22187733813543,Secant
900,3700,4.7,-103.51460944782399,1.8264728426487267,959.9471214746875,22.116144501543566,Secant
900,3750,4.7,-103.78762020366207,1.3532068996036628,970.0186299389433,21.51340573527885,Secant
900,3800,4.7,-105.43389043378038,1.4819377547027486,975.3238837929267,21.21314638709818,Secant
1000,3500,5.2,-99.57875969128082,1.348145578923095,1022.225158455342,25.409503096979346,Secant
1000,3550,5.2,-100.63433351203102,1.8862178670346452,1031.03842856016,25.207827929979565,Secant
1000,3600,5.2,-102.26923952957738,1.993651074398862,1039.0058614755567,25.00417797910991,Secant
1000,3650,5.2,-103.26885689641932,2.0212517612961847,1047.6100119086639,24.694382179727373,Secant
1000,3700,5.2,-104.0,2.0428596544355173,1054.8712060453277,24.383483648089197,Secant
1000,3750,5.2,-102.39575715860286,1.5008308032418824,1058.8162354383212,23.99548010433959,Secant
1000,3800,5.2,-104.38035495505294,2.1346978693429577,1065.4280954990454,23.64131401251992,Secant
