Flow,P,T,App,Power
500,3.0,-109,2.052908048580008,657.2371649840527
600,3.5,-107,2.7178645567296087,738.09945052331
700,4.2,-104,2.412169296041043,867.0284456423245
800,4.4,-103,2.052074622257095,894.0007095776544
900,4.8,-102,2.095302488364325,963.888398859739
1000,5.2,-103,2.291639296018019,1056.8851002287608
1100,5.7,-100,2.1247318336723566,1110.7165959712202
1200,6.1,-100,2.4123944733995586,1204.1645707454193
1300,6.5,-100,2.4524855207023606,1285.4693922084382
1400,7.0,-99,2.7060645534811556,1372.1022306115713
1500,7.3,-98,2.085251860849695,1423.9776796914578
