MassFlow,VolFlow,P,T,App,Power
1300,3200,7.0,-95,2.1641051644506604,1275.5149104859988
1300,3250,6.9,-96,2.4648327681915845,1269.718332075964
1300,3300,6.8,-96,2.284490576222254,1261.9145448211348
1300,3350,6.8,-96,2.1164364358498347,1272.813153990815
1300,3400,6.7,-97,2.3953760261131833,1265.293639221926
1300,3450,6.6,-97,2.0865574525063266,1256.8860973878323
1300,3500,6.6,-98,2.3036141780026966,1266.773594262738
1300,3550,6.6,-98,2.3550834964372314,1276.3680648800132
1300,3600,6.5,-99,2.016923138811052,1265.615655509391
1300,3700,6.5,-100,2.3633967931157898,1282.965514630237
1300,3800,6.5,-101,2.123019944047485,1298.5497624624338
1400,3350,7.2,-96,2.1258604058677975,1339.0940583948284
