P1_bar,T_ADJ4_C,MinApproach_C,P7_bar,Power_kW,Status
3.0,-111.0,-6.09,13.53,657.67,App<2.0
3.0,-110.0,-5.77,13.53,657.19,App<2.0
3.0,-109.0,-5.45,13.53,656.7,App<2.0
3.0,-108.0,-5.13,13.53,656.21,App<2.0
3.0,-107.0,-4.82,13.54,655.71,App<2.0
3.0,-106.0,-4.5,13.54,655.23,App<2.0
3.0,-105.0,-4.19,13.54,654.71,App<2.0
3.0,-104.0,-3.87,13.54,654.25,App<2.0
3.0,-103.0,-3.85,13.55,653.76,App<2.0
3.0,-102.0,-4.63,13.55,653.27,App<2.0
3.1,-111.0,-4.11,14.03,677.66,App<2.0
3.1,-110.0,-3.78,14.04,677.16,App<2.0
3.1,-109.0,-3.46,14.04,676.64,App<2.0
3.1,-108.0,-3.14,14.04,676.12,App<2.0
3.1,-107.0,-2.82,14.04,675.61,App<2.0
3.1,-106.0,-2.51,14.05,675.09,App<2.0
3.1,-105.0,-2.19,14.05,674.59,App<2.0
3.1,-104.0,-2.59,14.05,674.06,App<2.0
3.1,-103.0,-3.37,14.05,673.56,App<2.0
3.1,-102.0,-4.15,14.06,673.03,App<2.0
3.2,-111.0,-2.28,14.54,697.66,App<2.0
3.2,-110.0,-1.95,14.54,697.16,App<2.0
3.2,-109.0,-1.63,14.55,696.63,App<2.0
3.2,-108.0,-1.31,14.55,696.07,App<2.0
3.2,-107.0,-0.98,14.55,695.54,App<2.0
3.2,-106.0,-0.66,14.55,694.99,App<2.0
3.2,-105.0,-1.36,14.56,694.46,App<2.0
3.2,-104.0,-2.14,14.56,693.9,App<2.0
3.2,-103.0,-2.91,14.56,693.35,App<2.0
3.2,-102.0,-3.69,14.56,692.82,App<2.0
3.3,-111.0,-0.58,15.05,717.75,App<2.0
3.3,-110.0,-0.25,15.05,717.19,App<2.0
3.3,-109.0,0.07,15.05,716.63,App<2.0
3.3,-108.0,0.4,15.05,716.05,App<2.0
3.3,-107.0,0.63,15.06,715.5,App<2.0
3.3,-106.0,-0.15,15.06,714.91,App<2.0
3.3,-105.0,-0.93,15.06,714.34,App<2.0
3.3,-104.0,-1.7,15.07,713.77,App<2.0
3.3,-103.0,-2.48,15.07,713.19,App<2.0
3.3,-102.0,-3.25,15.07,712.64,App<2.0
3.4,-111.0,1.0,15.55,737.86,App<2.0
3.4,-110.0,1.33,15.56,737.26,App<2.0
3.4,-109.0,1.66,15.56,736.66,App<2.0
3.4,-108.0,1.81,15.56,736.06,App<2.0
3.4,-107.0,1.03,15.56,735.47,App<2.0
3.4,-106.0,0.26,15.57,734.87,App<2.0
3.4,-105.0,-0.52,15.57,734.26,App<2.0
3.4,-104.0,-1.29,15.57,733.66,App<2.0
3.4,-103.0,-2.07,15.58,733.05,App<2.0
3.4,-102.0,-2.84,15.58,732.46,App<2.0
3.5,-111.0,2.46,16.06,757.95,SUCCESS
3.5,-110.0,2.8,16.06,757.35,App>2.5
3.5,-109.0,2.98,16.07,756.73,App>2.5
3.5,-108.0,2.2,16.07,756.1,SUCCESS
3.5,-107.0,1.43,16.07,755.47,App<2.0
3.5,-106.0,0.65,16.07,754.84,App<2.0
3.5,-105.0,-0.12,16.08,754.21,App<2.0
3.5,-104.0,-0.9,16.08,753.57,App<2.0
3.5,-103.0,-1.68,16.08,752.93,App<2.0
3.5,-102.0,-2.45,16.08,752.28,App<2.0
3.6,-111.0,3.83,16.57,778.09,App>2.5
3.6,-110.0,4.13,16.57,777.48,App>2.5
3.6,-109.0,3.36,16.57,776.82,App>2.5
3.6,-108.0,2.58,16.57,776.16,App>2.5
3.6,-107.0,1.8,16.58,775.5,App<2.0
3.6,-106.0,1.03,16.58,774.84,App<2.0
3.6,-105.0,0.25,16.58,774.17,App<2.0
3.6,-104.0,-0.53,16.59,773.47,App<2.0
3.6,-103.0,-1.3,16.59,772.81,App<2.0
3.6,-102.0,-2.08,16.59,772.15,App<2.0
3.7,-111.0,5.12,17.07,798.3,App>2.5
3.7,-110.0,4.49,17.07,797.63,App>2.5
3.7,-109.0,3.71,17.08,796.94,App>2.5
3.7,-108.0,2.94,17.08,796.25,App>2.5
3.7,-107.0,2.16,17.08,795.53,SUCCESS
3.7,-106.0,1.38,17.09,794.87,App<2.0
3.7,-105.0,0.61,17.09,794.12,App<2.0
3.7,-104.0,-0.17,17.09,793.44,App<2.0
3.7,-103.0,-0.94,17.09,792.71,App<2.0
3.7,-102.0,-1.72,17.1,791.98,App<2.0
3.8,-111.0,5.61,17.58,818.5,App>2.5
3.8,-110.0,4.84,17.58,817.81,App>2.5
3.8,-109.0,4.06,17.58,817.07,App>2.5
3.8,-108.0,3.28,17.59,816.37,App>2.5
3.8,-107.0,2.5,17.59,815.59,App>2.5
3.8,-106.0,1.73,17.59,814.85,App<2.0
3.8,-105.0,0.95,17.59,814.11,App<2.0
3.8,-104.0,0.18,17.6,813.38,App<2.0
3.8,-103.0,-0.6,17.6,812.62,App<2.0
3.8,-102.0,-1.37,17.6,811.89,App<2.0
