MassFlow_10_kg_h,P1_bar,ADJ4_Target_C,MinApproach_C,P7_bar,Power_kW,Note
500,6.9,-98.0,2.509142849761787,33.31647187645018,1449.3519165824562,OK
600,7.0,-97.0,1.9234149584817146,33.86382684700744,1456.1245756867136,OK
700,6.0,-99.0,2.4239060150419505,29.310444143478698,1232.5785214471887,OK
800,6.9,-98.0,2.3848062196172464,33.204249326355395,1414.9287077112078,OK
900,6.0,-100.0,2.2105137750407096,28.512139444450998,1222.5954050623263,OK
1000,5.3,-100.0,2.2091502207620692,26.003376502271635,1033.4282976473364,OK
1100,5.64,-101.0,2.200126450981685,26.633640742788153,1125.317344311127,OK
1200,6.08,-101.0,2.257027840481925,28.771190959495648,1204.6370498258125,OK
1300,6.52,-99.0,2.1465008244742307,30.947572132369665,1280.8959457058372,OK
1400,6.96,-98.0,2.0509244534657682,33.11982527413243,1358.7859687502078,OK
1500,7.4,-99.0,2.477254716786433,34.33884016021683,1456.0281880364814,OK
