Flow,P_bar,T_C,MA,Power,Status
500,3.0,-114.0,0.5794559767425227,683.47923323427,Accelerated
600,3.5,-110.0,2.862587872573158,763.7517524694713,Accelerated
700,3.9,-110.0,1.090972129961628,843.4293517943229,Accelerated
800,4.4,-108.76452195241146,1.9516270564487428,932.3146676995591,Accelerated
900,4.7,-106.07468102393317,1.163214644664123,979.2546661773507,Accelerated
1000,5.2,-103.2448875812057,1.2956277099063982,1066.459774636896,Accelerated
1200,6.0,-97.93725370932447,1.2199700430731752,1167.9709743105598,Accelerated
1300,6.3,-98.0,0.9480413554592246,1234.5322555521257,Accelerated
1400,6.91,-96.0,1.4956378087833855,1315.7057056239553,Accelerated
1500,7.3,-97.0,0.7958521063566195,1431.134043286228,Accelerated
